0	160
0	192
16	0
16	16
16	32
16	48
16	64
16	80
16	96
16	112
16	128
16	160
16	192
16	208
16	224
16	240
16	256
16	272
16	288
16	304
16	320
16	336
16	352
32	0
32	48
32	96
32	128
32	160
32	192
32	288
32	352
48	0
48	32
48	64
48	96
48	128
48	160
48	192
48	224
48	256
48	272
48	288
48	320
48	352
64	0
64	32
64	64
64	96
64	128
64	144
64	160
64	192
64	208
64	224
64	256
64	288
64	320
64	352
80	0
80	352
96	0
96	32
96	64
96	80
96	96
96	112
96	128
96	144
96	160
96	192
96	224
96	256
96	288
96	304
96	320
96	352
112	0
112	32
112	192
112	224
112	256
112	288
112	304
112	320
112	352
128	0
128	32
128	64
128	96
128	224
128	256
128	288
128	304
128	320
128	352
144	0
144	32
144	64
144	96
144	128
144	144
144	160
144	176
144	192
144	224
144	256
144	352
160	0
160	32
160	128
160	160
160	192
160	224
160	256
160	288
160	304
160	320
160	352
176	0
176	64
176	80
176	96
176	160
176	192
176	224
176	288
176	304
176	320
176	352
192	0
192	16
192	32
192	48
192	64
192	96
192	192
192	208
192	224
192	256
192	288
192	304
192	320
192	352
208	0
208	96
208	160
208	192
208	208
208	224
208	240
208	256
208	352
224	0
224	32
224	64
224	128
224	160
224	192
224	224
224	256
224	288
224	304
224	320
224	352
240	0
240	32
240	64
240	80
240	96
240	128
240	144
240	160
240	176
240	192
240	224
240	256
240	288
240	304
240	320
240	352
256	0
256	32
256	64
256	96
256	224
256	256
256	352
272	0
272	32
272	96
272	128
272	144
272	160
272	176
272	192
272	224
272	256
272	288
272	304
272	320
272	352
288	0
288	32
288	96
288	128
288	160
288	192
288	224
288	256
288	288
288	304
288	320
288	352
304	0
304	64
304	112
304	320
304	352
320	0
320	32
320	96
320	128
320	160
320	192
320	224
320	256
320	288
320	320
320	352
336	0
336	48
336	80
336	96
336	128
336	160
336	192
336	256
336	288
336	352
352	0
352	16
352	32
352	48
352	64
352	80
352	96
352	128
352	144
352	160
352	192
352	208
352	224
352	240
352	256
352	272
352	288
352	304
352	320
352	336
352	352
